id,country,confirmed,active,deaths,recovered,latitude,longitude,last_update
124,Nepal,5,4,0,1,28.1667,84.25,1585498555000
157,Sudan,5,4,1,0,12.8628,30.2176,1585498555000
36,Bhutan,4,4,0,0,27.5142,90.4336,1585498555000
126,Nicaragua,4,3,1,0,12.865416,-85.207229,1585498555000
143,Saint Lucia,4,3,0,1,13.9094,-60.9789,1585498555000
47,Central African Republic,3,3,0,0,6.6111,20.9394,1585498555000
48,Chad,3,3,0,0,15.4542,18.7322,1585498555000
73,Gambia,3,2,1,0,13.4432,-15.3101,1585498555000
103,Liberia,3,3,0,0,6.428055,-9.429499,1585498555000
153,Somalia,3,3,0,0,5.152149,46.199616,1585498555000
34,Belize,2,2,0,0,17.1899,-88.4976,1585498555000
80,Guinea-Bissau,2,2,0,0,11.8037,-15.1804,1585498555000
108,MS Zaandam,2,2,0,0,0.0,0.0,1585498555000
142,Saint Kitts and Nevis,2,2,0,0,17.357822,-62.782998,1585498555000
133,Papua New Guinea,1,1,0,0,-6.314993,143.95555,1585498555000
144,Saint Vincent and the Grenadines,1,0,0,1,12.9843,-61.2872,1585498555000
163,Timor-Leste,1,1,0,0,-8.874217,125.727539,1585498555000
